date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:22	42150/42150	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:20%20GMT	http://www.w3schools.com/html5/html5_reference.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/html5/html5_reference.html	(from )
09:56:23	24726/24726	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:21%20GMT	http://www.w3schools.com/dom/dom_nodetype.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/dom/dom_nodetype.html	(from )
09:56:24	24464/24464	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:23%20GMT	http://www.w3schools.com/jsref/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/jsref/default.html	(from )
09:56:25	25030/25030	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:24%20GMT	http://www.w3schools.com/jquery/jquery_ref_selectors.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/jquery/jquery_ref_selectors.html	(from )
09:56:26	28878/28878	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:25%20GMT	http://www.w3schools.com/sql/sql_quickref.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/sql/sql_quickref.html	(from )
09:56:34	89816/89816	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:26%20GMT	http://www.w3schools.com/cssref/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/cssref/default.html	(from )
09:56:37	40857/40857	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:35%20GMT	http://www.w3schools.com/php/php_ref_array.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/php/php_ref_array.html	(from )
09:56:40	28974/28974	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:37%20GMT	http://www.w3schools.com/xsl/xsl_w3celementref.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/xsl/xsl_w3celementref.html	(from )
09:56:46	50476/50476	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:41%20GMT	http://www.w3schools.com/xpath/xpath_functions.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/xpath/xpath_functions.html	(from )
09:56:50	28223/28223	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:47%20GMT	http://www.w3schools.com/xslfo/xslfo_reference.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/xslfo/xslfo_reference.html	(from )
